Train/Actor Loss,Train/Critic Loss,Training Epochs,Eval/AverageReturn,Eval/StdReturn,Eval/MedianReturn,Eval/MinReturn,Eval/D4RL_score,training time
-2.449795,0.9640471,1,2771.1288945829006,679.1378693482213,2545.046006583306,1849.3041703175656,0.6032886894768129,0.022081280350685118
-2.449523,3.4692185,2,3529.4380379645527,498.13468331983233,3699.6192180332228,2051.206316104016,0.7684735055316185,0.03811595638593038
-2.456404,2.8787487,3,3534.0123607542855,448.058205546392,3783.3239012872004,2474.885354067514,0.7694699443523714,0.0541965651512146
-2.4447274,8.404743,4,2736.639778054984,1060.7696156114046,3249.0977223268114,562.3416721010732,0.5957758190079817,0.0698849231004715
-2.4579062,9.541665,5,3432.098808955446,582.8801067322439,3739.3993803082717,2324.8316255495315,0.7472698015025699,0.08632961875862545
-2.4614928,8.64122,6,2880.026861968784,1018.0019339885705,3124.393205979026,1532.01143048054,0.6270102690837279,0.10193886074754926
-2.4615896,18.527824,7,3438.965682081569,839.1078828001149,3850.025681503624,1588.250265767808,0.7487656336234276,0.1184027675125334
-2.46228,11.073252,8,3625.817687282869,597.3018619203208,3896.9241339146893,2320.3150503694173,0.7894681813614206,0.13428519282076093
-2.4626546,483.82996,9,2742.0958548502012,751.1908695186296,2951.6162208129067,1351.450070441405,0.5969643330192723,0.14976683623260922
-2.4596775,517.7278,10,3369.0024520156157,893.4684048786017,3760.9248746080384,1343.2984511424713,0.733525327753572,0.16608028868834177
-2.4629204,88.09916,11,3180.0862721441654,1062.1727774593062,3782.136334725573,1274.7342965913379,0.6923731344901759,0.18236824240949417
-2.4611766,16.43591,12,3630.2482042373617,402.85918042637354,3709.1801021658357,2458.539505536495,0.7904332945142067,0.19967129680845472
-2.4590702,22.899782,13,3256.233135726145,1032.7882103860197,3821.733950407236,1289.3636818945693,0.7089604402924602,0.21418305787775252
-2.4684138,9.888514,14,3061.640314916502,1007.5889740562243,3759.998602851347,1478.9363708767028,0.6665716868512415,0.23061924265490638
-2.462885,14.942254,15,3393.931825965563,770.2467339362912,3844.0666310371785,1732.2542755087131,0.7389557700556648,0.2453937739133835
-2.4644973,16.775604,16,3501.0297811463106,596.9643577470882,3775.9967654157153,1883.1389126924735,0.7622852474604677,0.26236862672699823
-2.4655175,797.84216,17,3364.5287226294085,822.6057952062114,3756.025789002145,1202.877615004595,0.732550801503705,0.27902311238977645
-2.462904,36.44692,18,3398.867017685678,609.1457735551243,3756.4273619406204,2047.3878398255333,0.7400308180668849,0.2941193895207511
-2.4633064,15.793886,19,3713.200681131927,70.05852573069056,3691.704454909298,3603.626160721226,0.808503088023505,0.3107923291126887
-2.4668424,22.08633,20,3534.708717997205,335.4822660839912,3710.3326751155882,2862.9457887758554,0.7696216339951563,0.3258345127105713
-2.4606483,12.789004,21,3483.5731493232443,882.5747507987695,3891.696728687737,1193.0279398985608,0.7584826155895522,0.342079373465644
-2.4631743,18.966572,22,2968.0108190433857,1002.5866921526434,3451.329136196586,1334.6388399018301,0.6461760854160088,0.3571187745862537
-2.465193,26.491922,23,3471.278778543931,670.9568879677121,3772.605887092984,1859.8147836343949,0.7558044949399264,0.3731925431225035
-2.4618342,21.662968,24,3632.518901068088,759.8411443260958,3847.3403587297917,1370.236976809004,0.7909279273978709,0.3888555019431644
-2.463255,18.829529,25,3734.574813733803,243.92473032019353,3795.1843737989075,3205.9293942768304,0.8131590811537301,0.40514461815357206
-2.463996,970.62494,26,3587.1769540403375,491.514083841833,3816.9383522800554,2427.045639840566,0.7810509514379804,0.42022872752613494
-2.464585,18.735207,27,3697.994169714943,384.30259798644937,3804.919351843054,2562.6957202286385,0.8051906068103045,0.43667747682995267
-2.4637504,436.19604,28,3751.080771438717,53.543726754672015,3754.1467207342052,3658.271521446783,0.8167546247537133,0.44826848487059273
-2.4636188,17.517471,29,3778.1135866534555,64.97957581792085,3767.3500955144345,3671.6401754143226,0.8226432661444485,0.4579065020216836
-2.4653764,20.974245,30,3751.481556580351,51.674909080436954,3763.0318123653196,3618.080622817702,0.8168419290154068,0.4680067558421029
-2.4669356,785.277,31,3880.5296596486246,74.25169666327407,3866.4720840768155,3741.0589950241633,0.8449528747340525,0.476783160633511
-2.4646945,12.668259,32,3782.425155170502,187.47800250466432,3848.3630670531084,3243.5475129447414,0.8235824683927822,0.48723306013478174
-2.4653578,663.458,33,3723.496000632456,61.53910451296832,3722.251026426291,3596.5976400069653,0.8107457491766283,0.4966385175122155
-2.4612164,14.881023,34,3520.5704673355112,751.9415792503928,3786.0005847863677,1377.0255677765588,0.7665418553121855,0.506443962653478
-2.4615207,16.025816,35,3514.5077455440346,503.737850621235,3800.691012507187,2493.9070433595484,0.7652211939530853,0.5152683871984481
-2.4656448,13.83169,36,3680.5900098761435,252.71917216488734,3759.8954116895475,2951.5614988194934,0.8013994050733191,0.525084044734637
-2.4616425,20.73349,37,3757.87054425284,210.64744015945152,3822.1219321109857,3144.3380120660036,0.8182336618761634,0.5356411417987612
-2.4624248,567.8948,38,3653.315981547808,470.2491157210619,3820.0368380763357,2274.0949312529124,0.7954582194871891,0.544448657102055
-2.4662182,20.263805,39,3745.104031686974,408.63010328367386,3893.3194005454056,2536.708827297319,0.8154526931271258,0.5549393939971924
-2.4602304,25.519138,40,3324.899760168755,830.338530468828,3797.0983457525836,1794.35637777433,0.7239183025662482,0.5636894217464659
-2.46395,18.113873,41,3594.460671314254,421.1284414053979,3741.044093965746,2567.989329187111,0.7826375860032998,0.57349451760451
-2.4676485,15.7517185,42,3527.399681737469,584.6724229529187,3809.2061056686607,2115.97431610985,0.7680294841171813,0.5816988244983885
-2.4688404,17.002308,43,3727.3768868247234,373.09560249384674,3810.2488682522926,2626.7381753643062,0.8115911345677903,0.5918841205702887
-2.463319,24.445704,44,3824.561787207903,79.7328548678547,3826.8434593599372,3665.058647719561,0.8327612207169698,0.5999884023931291
-2.4652128,17.10805,45,3643.487327710855,439.1505061755971,3736.0758590557634,2353.0611134997903,0.7933172135527448,0.6097080133358638
-2.4630532,26.814423,46,3706.0054112013895,419.6009321342249,3826.7875595288197,2582.377998119167,0.8069357202153836,0.6175397447745006
-2.4325833,143.83229,47,635.4397685075874,388.6728791217474,886.6320269849532,34.960765149876465,0.13806494989776155,0.6271309343311522
