Train/Value Loss,Train/Actor Loss,Train/Critic Loss,Training Epochs,Eval/AverageReturn,Eval/StdReturn,Eval/MedianReturn,Eval/MinReturn,Eval/D4RL_score,training time
1.5589727,57.49512,0.3365067,1,314.44784488161713,21.525669228274268,305.78011551164167,291.25289018395165,0.06814229062086032,0.018382696509361265
1.7953479,57.74495,0.3225038,2,326.7212000862691,9.239043930942671,326.9382401700632,310.24298892260674,0.07081583338313631,0.033357937004831105
2.1236925,75.35165,0.3018368,3,327.4796486582015,29.658913973003376,320.68666964718454,286.1425141641119,0.07098104857134171,0.048352831535869174
1.905836,54.29473,0.39720374,4,299.88061987427017,11.128003188995132,298.70531404665786,282.9929447044876,0.06496906713507082,0.062384718457857764
1.7341497,63.10428,0.318824,5,322.9403068146384,14.660981660949155,323.6088376102035,300.19251357625484,0.06999222975782325,0.07643341792954339
1.5653036,73.826744,0.45837885,6,294.7433069815503,12.236547951750262,289.8313756705304,280.35653931031015,0.06384999044635309,0.09138744678762224
1.6591535,44.370987,0.40809143,7,245.00065930387626,3.0120840863311136,245.7075389908415,238.75886309559925,0.05301439631112563,0.10597137517399258
1.8284303,55.663857,0.24693576,8,258.32304408135894,3.8908241891597273,259.5324086588373,251.19344306173122,0.055916452415930164,0.12117135796282026
2.02318,60.279022,0.24099292,9,245.8868516195459,3.5554046901038117,244.1894050017492,241.31935246749123,0.0532074383124396,0.1367903158399794
1.6181724,72.474266,0.38867995,10,206.39238060168933,2.6496840665329944,206.23559679788744,203.24542062457783,0.04460423606015835,0.15307047949896918
1.9560724,57.780827,0.2933626,11,195.60394650475493,3.216600082900578,195.68040915140023,189.78312376657453,0.04225415823586316,0.16765302452776168
1.51299,60.941055,0.25006577,12,223.0372182225986,3.2111870175090944,223.83797514208837,217.72663445031807,0.048230032299948926,0.18258467488818697
1.6516931,54.261826,0.2033115,13,217.45032239302867,1.7994012565682604,216.7884664232164,215.25852617143576,0.04701302157552411,0.19774810976452298
2.0708246,66.38457,0.26140183,14,214.99044640681717,1.7564952575714885,214.05475299062812,212.6815337502973,0.04647717921380874,0.21290998306539324
1.6872392,48.994923,0.42968827,15,219.51865455421768,4.001348141232243,219.53570639335845,214.96778157936126,0.04746357274000386,0.22742522577444713
1.8802253,63.761703,0.19851176,16,242.19156459859624,5.841293311274945,241.55020954007048,233.74087349058985,0.05240248256035253,0.24179447803232404
1.5358138,55.777626,0.2645402,17,230.00670803841163,2.9471472465029,230.4269871849359,224.40947047376946,0.04974821773034865,0.2613251796695921
1.6838145,60.019604,0.3141439,18,200.89044674062615,3.671927382073826,201.41015242215968,192.90603997660259,0.04340573286298931,0.28178658823172253
2.0479312,51.59599,0.50843203,19,187.11472956917837,1.5269271227759318,187.2401214727033,184.30164550361235,0.04040492596668717,0.3025610988669925
1.6139984,53.225624,0.27781534,20,219.4477618122099,3.32747349756883,219.60292776083907,212.64852483019587,0.04744812995568511,0.32348985327614677
1.7291851,51.18642,0.26441294,21,196.0868272839586,1.90566591695658,196.09747835571267,193.93569301503013,0.042359345643116955,0.34424176514148713
1.6676537,61.52218,0.21767795,22,223.55251980581357,1.8862413701648557,223.87506147164197,220.70699691968113,0.04834228203078631,0.36404954254627225
2.160581,89.2482,0.1884706,23,212.65513564500824,4.6824950745718965,210.79173180152364,206.7967240532992,0.045968471278546426,0.3849843829870224
1.4360878,42.12339,0.31155002,24,195.45056614720286,3.554409652336295,195.11803802552936,191.45190490660642,0.04222074692021468,0.4058668037255605
1.659123,51.52784,0.2791167,25,184.92314438117495,1.6007889021291404,184.6592793395081,181.61231103220746,0.03992752621579616,0.42678777674833934
2.0089405,63.846287,0.30236807,26,174.25525781534077,8.627590646392642,177.07565294667063,160.16062378924,0.03760370763144874,0.447610448996226
1.6420879,57.730347,0.22156078,27,185.9937007246894,4.055855840467637,185.92681460176945,178.44431544837227,0.04016072880107836,0.46792020148701136
1.3773117,54.358463,0.24101463,28,184.19708175546054,3.4544827328155048,185.44920537244255,177.57685848078046,0.03976936575799386,0.48803269002172683
1.6486343,45.6576,0.29816985,29,199.37847402106343,3.995259330282886,197.3223698658016,196.14180439075906,0.043076375189089876,0.5088690578275257
1.6405839,53.83631,0.27023515,30,166.06851430776064,16.26793489597466,163.2244999421141,146.58952039845119,0.03582036408061556,0.5287861612770293
1.6451389,65.677124,0.29117596,31,182.43250699351194,6.193083619149259,181.72244074149557,173.9818601736084,0.03938498300326723,0.5480414217048221
1.2509454,43.939987,0.19696519,32,156.9295385870993,4.733509637642297,157.33994091118075,150.41491730623147,0.0338295928542333,0.5671660096115536
1.4635664,39.839867,0.3849915,33,182.22203725080925,5.548904066901886,180.83269848168436,174.74007825087384,0.03933913573103416,0.5872123269902335
1.661535,58.48127,0.34645897,34,209.02240409780453,4.1633598501365014,209.89768228075246,200.6576646216869,0.04517714217795648,0.6084871077537537
1.8391198,74.419266,0.3537426,35,153.65791395211616,5.424559585972415,152.35573269117543,146.9036844028483,0.03311692478442728,0.6280443219343821
1.4431694,48.075504,0.3364599,36,167.52550864910955,9.141793519071678,164.89901199289284,156.704707340856,0.036137745645072696,0.6472985504733192
1.6996818,68.97804,0.3207835,37,144.65473755059742,3.339801816298557,144.42804745165444,140.7995190527321,0.03115573514195273,0.6671951747602887
1.9194402,88.28992,0.33913022,38,175.34179174268743,16.087158239983303,174.40253819005852,153.72549735608538,0.03784039066302302,0.6876132004790836
1.5385692,52.485306,0.29993987,39,165.3879040858438,4.553790505259531,165.63687042866817,159.5578902161134,0.035672104659911504,0.7071401610639361
1.4777235,65.51897,0.39675027,40,160.548249149397,6.167747570153404,158.4975800529185,155.0138763396403,0.034617867720500975,0.7264345383644104
1.652319,55.097656,0.19775881,41,160.43346613629362,10.260670223727914,161.99417579843882,142.67765360870766,0.03459286418326134,0.7473389340771569
1.1548526,49.366386,0.26192713,42,121.32735921996166,4.891132133208649,119.44500057315332,116.489460032506,0.02607426047925363,0.7690491671694649
1.4787602,72.13844,0.2181765,43,141.56452603580425,3.2288761195650264,142.50673109126743,136.05413559364828,0.030482584850812643,0.7896640368964937
1.5531626,66.278046,0.33904564,44,139.69416325306966,5.458383068702342,138.87418501257253,130.47450729548913,0.0300751579657246,0.810123930838373
1.137145,46.898994,0.3417533,45,145.76601514807828,5.67746184390835,146.54369261588693,137.666020112565,0.03139780816339501,0.8305678672922983
1.3975645,62.9071,0.24176526,46,150.03249936320918,12.936823882606136,150.5911677317863,129.5895079726941,0.03232718955939702,0.8501734598477682
1.618377,65.792305,0.23493412,47,166.32241230490936,2.459701053371882,165.48990593226125,163.80317692867524,0.03587567146325989,0.8709193496571647
1.5126994,61.625168,0.2834156,48,159.6921480632182,2.803563190701777,158.70786391146765,156.24819590462724,0.03443138058437846,0.8904569233126111
1.4646558,61.800724,0.20701927,49,158.03127239390315,5.9778430970439675,160.07974239304343,148.3553644779834,0.034069586922360555,0.9105944769912296
1.2847972,32.9408,0.3322654,50,156.4717950751806,26.77893079920156,171.5818838989408,109.60860631271177,0.03372988117532701,0.9309979091087978
1.4067082,54.228405,0.3582741,51,197.68934610575585,1.6453506463361618,198.0849466295125,195.184669098821,0.04270842725331945,0.9508063628938463
1.6232538,53.178097,0.31395873,52,206.26501876359535,2.5661372732625454,206.06793605688202,202.79248205032684,0.04457649243873222,0.9704314208692975
1.3765633,56.818214,0.36817467,53,159.4088561729869,2.7882041569246896,159.1994239091206,154.74810706614602,0.03436967023948008,0.9892262425025304
1.682601,52.9416,0.20026273,54,164.64797379969994,3.083984613161854,164.026674000643,160.8128160808848,0.03551092336692987,1.0097168064779705
1.2688344,65.11815,0.28728375,55,159.83346221246975,3.311916444283239,159.6230752408112,153.56524304066107,0.034462163480712744,1.0295208495855332
1.9182271,77.9536,0.32513058,56,182.72870122210094,2.035724193669706,182.6799060388933,179.19531913438982,0.03944950390426519,1.0499349496761958
1.596549,65.05891,0.26453805,57,177.8760400854814,1.920091346637851,177.9638372042919,174.12102535870386,0.03839243378421605,1.0695513245132235
1.3698237,48.090485,0.25797987,58,135.36310868431983,3.880683832484856,133.90955467157232,130.4101309867288,0.029131711010737537,1.0897221816910638
1.4341732,74.50459,0.2577978,59,209.10659840105387,2.584969061412979,209.56013662137713,203.76879926554213,0.04519548248232507,1.110246910850207
1.5925016,86.772446,0.31986433,60,184.864755293643,2.3543130392354095,184.48930558014018,181.6962981601669,0.03991480714103917,1.1321359017160204
1.3596294,49.162575,0.34457326,61,186.81001247562168,2.39069878653301,186.31782678243547,182.75173786171456,0.04033854850376558,1.1527940773963927
1.3700901,48.494682,0.33918583,62,184.2063950513146,3.109995041605648,183.44793515510395,179.8838643399716,0.03977139450191176,1.1744325196080738
1.3255248,59.915527,0.2938084,63,188.81223709088914,2.490259429053666,188.8393597787731,184.71532998681852,0.04077469925792694,1.1957361996173859
1.1614823,49.73021,0.26857954,64,205.88036282312822,1.9133038054144822,206.1547916239212,200.44341204693538,0.044492701650601804,1.2169891438219282
1.1494957,50.02603,0.25722086,65,192.41857831784392,2.1389961891791525,192.33473225114793,187.75409316672315,0.041560279673783236,1.2380441577566994
1.24277,57.047085,0.2863888,66,213.78869552720874,2.9466172688449226,213.8223971677305,208.87086187875335,0.04621539811869156,1.2592528747187721
1.4402022,46.493073,0.22340488,67,166.775488338062,3.8589334723900888,166.9503080855747,160.33237887811896,0.0359743664108922,1.2816154952843983
1.2608452,63.490097,0.4782785,68,173.53655100337136,1.4406859754671726,174.02669265701817,170.91769813896266,0.0374471495132081,1.304017856982019
1.3250952,52.496593,0.2063735,69,213.96823905431097,3.6942286804963103,213.24731906205827,209.17425565504612,0.04625450863813744,1.3257105345196194
1.14661,40.12635,0.24056241,70,194.4333227459122,3.1944507711558177,193.96454899109682,189.47639243764826,0.041999157657324045,1.3474444454246097
1.3293471,48.97969,0.25209147,71,210.14284357150035,3.926450532788563,210.24985694890518,204.74072742030637,0.04542121095911034,1.3688784083392884
1.5655386,48.893955,0.25657663,72,174.76676452198646,4.555187568933118,174.2817265545494,169.01891609836215,0.03771513071263602,1.3895350218481488
