Train/Value Loss,Train/Actor Loss,Train/Critic Loss,Training Epochs,Eval/AverageReturn,Eval/StdReturn,Eval/MedianReturn,Eval/MinReturn,Eval/D4RL_score,training time
0.16871253,1.0208845,0.6394266,1,2496.2240464108645,221.50142358504712,2464.4299497215343,2222.4755899148254,0.7732187567456316,0.03319849424892002
0.38330495,0.8604666,1.3113482,2,726.8674791984338,6.146160845490015,727.0544137787944,715.680306781849,0.2295661961636565,0.05508471363120609
0.47976795,-0.4759243,3.1952603,3,956.9341889108589,8.770276955513015,957.4430675855776,940.8521130674516,0.30025650141789023,0.07972328086694082
0.46655717,1.1050341,2.1921768,4,780.484347669632,4.397646061513502,780.0780291023532,774.4849073047936,0.24604051704103466,0.10283821622530619
0.5662027,-4.236289,2.6180243,5,1051.8619260057217,9.206674999947449,1049.8466436054327,1039.8691198073595,0.3294240012300853,0.1255464964442783
0.609751,-0.70008403,2.6624098,6,1038.5549389432274,24.973253915786497,1045.917154902826,979.2228790975903,0.32533529592092664,0.14742627183596294
0.53249913,-2.264225,2.9510362,7,1190.3256565088961,48.26359964598052,1183.855570141397,1118.7643070514298,0.37196837189607196,0.171348551246855
0.6172739,0.04524541,3.405107,8,1120.2341958885922,23.220494585123785,1130.5932403553197,1070.6053502075235,0.35043206726009185,0.19371597203943464
0.6438486,-2.8078315,4.6494784,9,1314.6787595957928,177.26425374483136,1286.4334164750871,1149.4168179185397,0.410177110689754,0.22169513901074728
0.7392149,5.465228,6.0162296,10,1659.8660913076487,209.6872677768234,1653.8397530599163,1301.9201589130678,0.516239382276575,0.2453848308324814
0.45116073,-5.024786,2.4317997,11,1694.0780249517786,296.8138359952446,1594.6018615044354,1332.0477098551607,0.5267513422018684,0.2686060537232293
0.6679721,-2.179197,3.3453517,12,1679.309377470193,308.13514381556865,1562.3710626158313,1284.9294526430263,0.5222135270613363,0.29499321771992576
0.53887707,-1.7506156,4.0307903,13,1582.4490604850307,282.2606136974262,1527.5316956444935,1281.3612812238964,0.49245222268461186,0.3213263730208079
0.4984591,-7.797269,3.2181861,14,1487.5844622912507,95.9376835824164,1455.3580070587573,1399.9512414765363,0.4633041229333667,0.34535914149549274
0.55133283,-3.346384,3.486472,15,1398.94855774515,126.08586761603785,1301.4787765893088,1293.8999022772903,0.43606985180965274,0.3702458847893609
0.59161484,-2.1842673,2.7976274,16,1547.0685133985235,261.8585215608076,1508.4623487516765,1305.278723913084,0.48158119455223575,0.39436974697642857
0.4769783,-2.9505873,2.0805204,17,1498.0107068459383,114.53210022747453,1489.695052240219,1334.3545319246498,0.4665076911990555,0.41854523407088384
0.6508591,-5.2984333,3.1530025,18,1830.9217310260549,139.9506945593218,1811.950959985314,1565.2247416900445,0.5687979441053023,0.44422531101438734
0.8146486,2.0764537,3.1185575,19,1562.958101417763,263.42190467652546,1523.2910725228708,1356.212330255976,0.4864634299214817,0.46963724613189695
0.4801325,-1.1602039,1.8391602,20,1509.1182064492702,238.69307005396803,1439.070662708129,1308.4488132008823,0.46992058191476255,0.49556914733515844
0.60696644,-5.955267,2.4264686,21,1439.1574735866097,70.00885302227799,1445.5256321235365,1313.4555614056014,0.44842444469415765,0.5191750107871161
0.50574744,2.3715959,2.299428,22,1465.1438031615721,116.67193851738618,1511.313612607314,1291.3863719883927,0.45640900522613276,0.5398611747556262
1.1153699,-0.70479876,3.281043,23,1690.6785725524248,313.42550707384316,1561.81481754548,1369.0378090015129,0.5257068263390218,0.5612326274315517
0.61251485,0.3432051,3.1492424,24,1735.7189923886822,267.52625709376946,1645.7589231041088,1381.9453537113184,0.5395459473095596,0.5851459534300698
0.60690796,-4.5946155,2.323494,25,1353.2435365742883,100.66499243269017,1335.0729957346887,1244.6240345028707,0.4220265254098536,0.6080639126565721
0.87994766,-3.6459446,2.2557254,26,1364.0097780081765,59.31611560239396,1345.4199587248063,1318.241205984103,0.4253345611285094,0.6320202528105842
0.90085137,-10.931548,3.2846303,27,1688.8352100069465,365.041635636319,1550.7796912683086,1347.8718343223502,0.5251404346989754,0.6556291357676188
0.59695816,-0.19573468,1.8321973,28,1590.7479764777913,166.33908502284746,1573.335262519542,1403.7018849769127,0.49500214790213154,0.6775870923201243
