Train/Actor Loss,Train/Critic Loss,Training Epochs,Eval/AverageReturn,Eval/StdReturn,Eval/MedianReturn,Eval/MinReturn,Eval/D4RL_score,training time
-2.4256258,0.22593918,1,1707.727331723736,203.58369725293952,1622.6194751583757,1470.520635929364,0.5309452286769016,0.01470252878136105
-2.4331963,0.9440873,2,1355.123457364238,135.43965162099997,1267.1260017329982,1234.297040143653,0.42260414993737183,0.030516888366805182
-2.4251635,1.0326374,3,1347.0416471900296,177.5154299852778,1239.3061430680518,1232.6568133597589,0.4201209326612363,0.04388231727812025
-2.4363065,1.5783461,4,1392.5958234962286,252.57314313578317,1284.2082288072622,1256.2894766231075,0.4341179104626556,0.05936900311046177
-2.4332685,2.0963688,5,1388.467677527634,192.98852965307373,1279.2206215068009,1251.765754080244,0.43284949618829677,0.07313793420791626
-2.4403958,2.1463025,6,1365.5499953883354,91.19254119701432,1309.061858046974,1273.1053549929632,0.42580780837448173,0.08722834593719907
-2.437933,3.0050778,7,1375.699041439551,120.29834521735211,1286.372809120072,1269.6087931941856,0.42892620461832104,0.10138593249850802
-2.4419158,2.7655394,8,1300.8274519130061,72.79402049964591,1258.2008650494765,1235.3133265189745,0.40592115740781065,0.11569366481569078
-2.4479241,2.5694942,9,1353.4627214724599,166.09353114800746,1262.8006990330123,1237.799005792394,0.42209387216931404,0.12864659044477675
-2.4442375,3.0429597,10,1361.6928440846084,119.0781383865127,1307.890338872096,1251.7916768160283,0.42462265993030635,0.14256206783983444
-2.4447825,3.7383788,11,1331.9055844021018,106.39160024485786,1267.100233419668,1248.993930615263,0.41547022548085677,0.15486815326743655
-2.439724,3.3595963,12,1471.860517153888,113.04294395381731,1495.3752238460102,1308.3198624427464,0.4584727830017861,0.16861556483639611
-2.4391663,3.8925905,13,1965.984580994676,458.3398774746069,1833.774620745618,1516.4351974518956,0.610297360099571,0.1814293599790997
-2.4456863,4.019342,14,1585.950386503657,250.75264929713978,1579.7385313236236,1262.5269180090415,0.493528040239271,0.19625347561306425
-2.4432042,2.9168258,15,1896.3313217336356,401.63360248644796,1851.2811597724221,1329.0504136782981,0.588895697228529,0.21094657844967313
-2.4458108,4.7327323,16,1631.2086402650436,110.56259307951976,1608.410349763276,1503.70091910443,0.5074340928692452,0.22734619167115952
-2.4441385,3.024609,17,1691.7815160750276,315.3152765444502,1582.133468106863,1378.4543797127783,0.526045716804263,0.24235813054773542
-2.4476454,4.1049533,18,1849.5817274119222,339.34433287429175,1793.0195218708432,1563.4584149808552,0.5745314152459495,0.25815727240509456
