Train/VAE Loss,Train/Actor Loss,Train/Critic Loss,Training Epochs,Eval/AverageReturn,Eval/StdReturn,Eval/MedianReturn,Eval/MinReturn,Eval/D4RL_score,training time
0.06499839,-3.7206032,0.0012680666,1,3217.0295018209713,601.008237181197,3588.1506458177246,2118.3293115878464,0.9946934661268714,0.02758248103989495
0.049813785,-3.5981076,0.0013885712,2,2893.689210092728,925.0594314741203,3468.7119036136087,1268.466355838217,0.8953439168077502,0.04212944169839223
0.05358339,-3.700697,0.0005586443,3,3590.4361327444312,14.833409965211382,3585.433172000676,3571.0853388175474,1.1094264005741397,0.05654842608504825
0.05921194,-3.6724224,0.0008854446,4,3204.887771124223,827.448461424077,3604.7259111195185,1345.8503268882914,0.9909627975293125,0.07128010365698073
0.06063592,-3.6939478,0.00032401603,5,3400.387818851136,497.38692351320174,3610.0832570089915,1975.0687604117904,1.0510321490157017,0.08584127757284377
0.057279333,-3.66846,0.00039064133,6,2987.943363758527,864.545326477995,3447.348210691006,1459.9121800300509,0.924304451352027,0.0998384345902337
0.052521273,-3.6546233,0.0003534996,7,3420.166652189746,468.22667260802996,3613.606750253435,2124.73931607616,1.0571093940374896,0.11426314738061694
0.051403116,-3.71525,0.00026491052,8,3298.320566253933,515.7277927574803,3597.0630718113825,2042.809547559287,1.01967096142113,0.1275163816081153
0.048286676,-3.6918373,0.00024238953,9,3602.928399509424,23.78431224161274,3606.383533264765,3567.708509691949,1.113264774896259,0.14160233014159732
0.05053002,-3.7470043,0.0002153675,10,3472.739012521347,402.9010596522945,3591.729915017657,2267.331739117653,1.0732627793074478,0.15485364900694953
0.05630568,-3.6552696,0.00017197637,11,3380.079853156042,596.3421085423324,3606.7930451299712,1624.455529266652,1.044792322767597,0.16794644084241656
0.04901028,-3.7076242,0.00034376193,12,3431.436709588309,333.69372608964517,3578.362570766141,2603.211805327928,1.0605722322670317,0.18105096777280172
0.05030597,-3.661158,0.00019858818,13,3584.968656184615,14.016783605319025,3581.960879154362,3559.796444068705,1.1077464635355874,0.19427034099896748
0.045333885,-3.6663969,0.00013171864,14,2930.0563838951985,820.2105041309653,3307.2262539105186,1346.356264967136,0.9065180958993008,0.20929009219010672
0.053293254,-3.6859221,0.0001940798,15,3593.7381919014747,17.953679091804194,3599.725753288019,3559.9314220992674,1.1104409913859556,0.22496554215749104
0.04724206,-3.687077,0.00016260475,16,3190.8384339535064,668.1787894996788,3583.6348867283036,1797.2043114203607,0.9866459976999977,0.2394804213444392
0.055220176,-3.57545,0.00012504117,17,3208.475973183812,692.3915295712814,3611.620685212102,1736.2325688440376,0.9920653086193493,0.2539881580405765
0.053047247,-3.6378794,0.0002933311,18,3475.706075700689,311.29356725223846,3575.9592599311745,2543.972922147424,1.0741744392434658,0.26813991831408607
0.05039518,-3.6214004,0.00038324657,19,3547.9377343257956,152.42820047793907,3582.441537906705,3103.6370850944813,1.096368341193082,0.2833420591221915
0.04678789,-3.6161466,0.00016169343,20,3431.5294502836196,304.02754489719484,3595.448062156805,2698.7696034126643,1.060600727776309,0.2977853351831436
0.05223841,-3.6493404,0.00018102617,21,3326.5242584473244,558.4126790997396,3589.037037476913,2035.380112562795,1.0283368288686165,0.3123970831765069
0.057190582,-3.7058973,0.00012225931,22,3291.6574436239425,570.4513932599193,3573.5510429586266,1986.6997287210877,1.0176236501293348,0.32649468885527716
0.0559842,-3.6419992,0.00014338006,23,3442.962749907726,407.3344415981227,3606.870288521608,2253.9442115568163,1.0641137238177678,0.3402820944786072
