Train/VAE Loss,Train/Actor Loss,Train/Critic Loss,Training Epochs,Eval/AverageReturn,Eval/StdReturn,Eval/MedianReturn,Eval/MinReturn,Eval/D4RL_score,training time
0.038720563,-3.2760777,0.0046160435,1,2711.411896553251,852.0587962570246,2674.1399049981947,1534.9106887515882,0.5902803518865747,0.03759264780415429
0.038386833,-3.2700088,0.0034449846,2,2961.2018832968392,744.513695197649,3143.889212259924,1880.2110398911875,0.644692873972973,0.06587822761800555
0.037357174,-3.3944163,0.0026073547,3,3162.845811763088,678.3728801156017,3585.447558342317,1687.657501960188,0.6886175919102084,0.09709900074534945
0.03804339,-3.2669392,0.0010996773,4,3230.8272263433964,843.2216785618363,3724.1064710805554,1508.6518019577322,0.7034261928094621,0.1304963689380222
0.03608483,-3.2718577,0.001741991,5,2821.471956460167,1003.2601542068437,3160.34146011084,1360.524825883182,0.6142550736862231,0.16201294600963592
0.03217699,-3.178195,0.0012633216,6,3096.493801732784,766.7103011685406,3608.044970187566,1882.8371843882273,0.6741639292221323,0.19079906781514486
0.030603472,-3.3412795,0.0012779329,7,2975.284010934779,792.9350487148242,3132.825125442927,1703.6088815767928,0.6477604272048383,0.21782661292288039
0.030751975,-3.3349016,0.0013211488,8,3223.7161666133115,718.8260614306549,3712.6279870207586,1672.9176894045813,0.701877168768646,0.24670948803424836
0.033127427,-3.2722654,0.0010394753,9,2946.0467743264076,740.3649538443949,2914.1988433845763,1877.8168269173589,0.6413915899130084,0.27618803487883675
0.029386733,-3.4381993,0.0011285276,10,3075.0101573976003,710.8514326018402,3392.303307574657,1539.7832643303602,0.6694840808137793,0.30541761967870923
0.030313026,-3.420919,0.0009011016,11,2686.164251838957,815.4545271711862,2490.1914890772596,1441.3407056962265,0.5847805796837111,0.3335812109708786
0.03309072,-3.3299465,0.0011114613,12,2921.8956865686837,883.3749762065106,3305.8039594968077,1495.8023173100923,0.6361306840890426,0.36106129672792225
0.029431641,-3.2927618,0.00096019555,13,3258.309687359002,556.4578235515128,3423.9234603217137,1861.7429111333818,0.7094127819297668,0.38784075955549874
0.03218914,-3.1582582,0.001108377,14,3230.478861097729,564.9790844795081,3485.3103319553334,1710.7640570357355,0.7033503073351437,0.41992825984954835
0.031521633,-3.1569965,0.001655932,15,3507.231171144361,550.8314038933928,3696.635553055241,1865.47297363726,0.7636361153420599,0.4503717858261532
0.029076502,-3.474166,0.0008332394,16,3302.2158962415733,595.2729399238448,3559.562172921017,2170.973129617448,0.7189770066278741,0.47803262611230213
0.033315964,-3.3049908,0.00094683224,17,2304.1392016588425,1143.6574289909804,1898.6443682766417,931.8859643926774,0.501562886486822,0.5061631794108284
0.034875393,-3.2221615,0.0011959977,18,1989.923325520774,1168.2070586652858,1691.7779707996692,445.0410492546115,0.4331162745022904,0.5416088047954771
0.031435918,-3.1032772,0.0009425704,19,1943.2506080316311,1275.3490858563005,1428.314745513845,40.03780051184543,0.4229494127144433,0.5713921397924423
0.03315507,-3.3622785,0.0010619054,20,2533.059846547798,1266.1661773873257,2790.1801030778006,250.0417993425644,0.5514293755660628,0.5996635215812259
0.035255145,-3.3426054,0.00076881965,21,3519.225785052734,660.0515407078568,3770.737487498078,1634.8202918487661,0.7662489390293326,0.6275318757692973
0.029031498,-3.381699,0.00085969025,22,3575.379305362324,334.60180095843936,3738.5520430645083,2921.3183014275996,0.7784810332934275,0.6571376408471001
0.035879236,-3.1476212,0.0008515682,23,2209.0650842773143,1156.8586139009274,1865.3683629871703,968.5276921257266,0.48085259869943525,0.6898985647492939
0.032555923,-3.2900858,0.00064737484,24,3211.578598107633,755.8519762950988,3499.2689287986095,1535.1027697828572,0.6992332048411873,0.7179098206096225
