Train/VAE Loss,Train/Actor Loss,Train/Critic Loss,Training Epochs,Eval/AverageReturn,Eval/StdReturn,Eval/MedianReturn,Eval/MinReturn,Eval/D4RL_score,training time
0.25190383,-0.07903999,0.0029588207,1,267.18035780056346,128.05930183662167,278.9759047122909,30.933099871670102,0.05784586834110534,0.01948122289445665
0.23935154,-0.045534458,0.0017244935,2,266.923491175657,55.78892863655113,279.61348163979517,112.82882665903253,0.05778991429313411,0.03785531898339589
0.24035051,-0.046181023,0.0015176125,3,279.7791020528765,98.0868236537503,300.2516951675916,50.748032185231075,0.06059029160172855,0.05672345525688595
0.2404058,0.006498959,0.0014546561,4,275.12298001613095,40.674163645930065,273.55235713939743,206.19717073958068,0.059576034199083146,0.07574938979413774
0.24554195,-0.013953196,0.0011240758,5,313.17201912349094,45.36233923310775,305.9823782869553,254.775815612218,0.06786437356682845,0.09440281457371182
0.23580505,0.0077321352,0.0022449847,6,307.25450734306503,48.21520096724057,301.2891987796822,243.20280307530885,0.06657534375163626,0.112986943854226
0.24593736,-0.019269027,0.0010506819,7,332.23461298258746,135.24731796376417,290.8608723107201,136.03978469318125,0.07201683709390679,0.13152254607942368
0.243383,0.017875222,0.0012082406,8,275.8138629349255,22.148948896705626,275.8107063643939,231.86466666136153,0.059726531352984724,0.14884222070376077
0.24941255,-0.029006902,0.0012226242,9,288.8194501598813,20.45989134439278,287.01952511485706,241.7525830979704,0.0625595784712862,0.16589598039786022
0.24481405,-0.057113737,0.0015733461,10,290.3484929833209,23.06440847372105,294.55433509333443,244.08532191692456,0.06289265457848366,0.18430760628647275
0.2481688,-0.08320057,0.0010603901,11,287.83212273596115,16.2292782243414,287.61588532462247,262.3586684466987,0.06234450589787793,0.2023315421740214
0.2382321,-0.031129818,0.0014411034,12,293.078671392574,31.0470851569247,284.74714012561503,250.21584248105052,0.06348737774945602,0.22049683213233948
0.24630684,-0.0077912286,0.0012411065,13,318.6102636453637,39.854083354976815,318.4541297499421,250.87316161663807,0.06904900311909865,0.23986561708980136
0.2417624,-0.025325201,0.0014119704,14,293.0094617015292,76.91117877884646,292.25997678240464,108.35603475982107,0.0634723015893118,0.2618802611033122
0.24205832,-0.04938322,0.0008721793,15,294.94787237959923,35.826842467554826,281.95636452816024,253.18191480408555,0.06389455155700673,0.28819837007257676
0.25344056,-0.04395202,0.0012848619,16,305.7300247917007,72.01073692743117,298.3355747116241,134.8687772312434,0.06624326102254917,0.3152251964145237
0.24521178,-0.061057307,0.0008910276,17,310.01003800546226,84.66581055606103,282.96414424287934,234.2675538847851,0.06717558948198792,0.34236923979388345
0.2368922,-0.0155005995,0.00083668926,18,308.4313598696016,34.99015098287799,316.03719921417064,233.6284047897874,0.06683170116182474,0.37018574158350626
0.24236368,0.019557327,0.000824633,19,326.0608926809697,41.585447038697204,318.3360011697979,283.31086121922095,0.07067199658750227,0.39832342750496336
0.24314979,-0.037630484,0.0010949165,20,304.3866888436227,21.026136093675422,299.000844895873,278.37880602643634,0.0659506380159301,0.42572905235820346
0.24399881,-0.028690245,0.0008602425,21,305.43318322306214,27.79760315080971,303.61904148711494,273.3762067534522,0.06617859910947461,0.4531492069032457
0.2458747,0.047545053,0.0014717933,22,297.01540487447653,23.438638726826532,291.9182321865166,267.41019303233577,0.06434492852771108,0.4812986710336473
0.2435677,-0.06959973,0.0010072005,23,304.296031768295,38.86332338226049,292.9997232961085,273.2914910611589,0.06593088990601638,0.5088343285189735
0.24294162,-0.03699808,0.0012895551,24,285.83397399644593,21.270463672459133,288.6533167911819,236.8666798332053,0.06190924300428409,0.5369010211361779
0.23970129,-0.0329486,0.00072824414,25,270.07038219188,23.536979467129708,273.1561797281929,225.50857725064657,0.05847541125462558,0.5648907716406716
0.24966136,-0.05343281,0.00097159,26,309.88060688735715,24.71722707451098,304.04365793675834,281.66582812319865,0.06714739510292424,0.5933117083046171
0.24185374,-0.11895556,0.0007964751,27,291.30754247849256,18.60226920901238,288.19987729932586,259.5715689814892,0.06310156728358558,0.6206200767225689
0.23734467,-0.04866211,0.0007850948,28,288.7197234291099,25.210323568982623,284.61016977837136,248.8059020797294,0.06253785469039552,0.6487245259682337
0.24506098,-0.031407155,0.000823493,29,283.18444339489236,13.74329104980607,278.70640860257276,268.02939820640745,0.061332087593632616,0.676476638449563
0.24405953,-0.027782777,0.0014682172,30,282.5520459841096,14.454730839979524,282.9293300294904,251.07414627227817,0.06119433051805809,0.7046673310465282
0.24016348,0.015851794,0.00072397443,31,278.7666680611995,55.6903882046136,288.85173623636837,137.20839850662165,0.060369749987345525,0.7325557423962488
0.24750611,0.0026200674,0.00065760815,32,290.53252257956274,61.697983639591,268.24236824523337,240.83951081643616,0.06293274231218587,0.7589850835005443
0.24158221,-0.019158259,0.0008062334,33,276.9478171929154,12.138526750856975,276.30692903116517,258.2004145656984,0.05997354410122262,0.7859976985719469
