Train/Value Loss,Train/Actor Loss,Train/Critic Loss,Training Epochs,Eval/AverageReturn,Eval/StdReturn,Eval/MedianReturn,Eval/MinReturn,Eval/D4RL_score,training time
0.26171684,-0.95998937,1.6994824,1,3050.497537193968,704.4171780855592,3250.032519171659,2168.6045548541915,0.6641444212637158,0.03513272080156538
0.46690246,-1.9770383,4.144,2,1021.4236765669851,661.5083887204104,904.3906396806724,312.53159475232076,0.2221450132985233,0.06214533415105608
0.8474668,-13.465904,6.869182,3,2818.020570015628,999.1922159030006,2391.5014353334554,1692.3690827909422,0.6135032475478321,0.09129100951883529
1.3359587,3.131595,228.70308,4,3514.487961309694,663.1530392981771,3861.3910741639775,1952.65441941625,0.7652168842923898,0.12122678021589915
1.5901241,-13.439266,283.83704,5,1567.9556301066618,480.26374155246003,1355.5514022578968,1195.142333090553,0.3411977518833834,0.1478660692771276
2.0957336,-21.331291,12.982311,6,542.5697737487382,564.6789826769169,243.57027708337282,215.9658093832334,0.11783479292927253,0.17357849836349487
1.268126,-8.817135,12.136845,7,2804.3909651169583,1064.57086105518,2628.727756801525,1437.9622910428961,0.6105342687378887,0.20324680560164982
1.3860977,-28.029144,7.3607607,8,2645.2901799729343,988.5617761043313,2605.3862547504477,1475.0949693489267,0.5758768547299401,0.23211986071533627
1.7794743,-22.85955,7.6089206,9,2086.9318901015263,818.6613473627897,1683.3596069718365,1350.865811607785,0.45424794888056885,0.2602839528852039
2.1198883,-15.945748,11.273594,10,2846.1557290989804,1006.9973503306047,2844.8624827798767,1584.9810226847633,0.6196320158983374,0.2895614460441801
2.3369794,-28.66685,9.876188,11,3483.9563977962193,648.9611981726979,3810.8996633188854,1882.0008435546165,0.7585660997847042,0.3202956166532305
2.4983149,-22.045908,11.868469,12,3653.454175773356,28.437527434836195,3642.497380765116,3625.7264327183957,0.7954883227609346,0.3509887542327245
3.2939866,-1.6784148,21.984934,13,3117.9853588666238,846.8766216597778,3149.9695788632207,1598.8645526310927,0.6788455012997855,0.37952717536025576
2.0619154,-21.1245,10.852049,14,3498.2568156972084,488.8015592999308,3609.091558061177,2063.765978090707,0.7616812038568345,0.4099293060435189
2.3186684,-21.172417,975.02515,15,3305.9117934374976,555.208259639009,3326.613741301083,2261.327628337215,0.719782095296255,0.4386869633860058
2.2999802,-1.3192387,10.158197,16,2277.1780144804134,1625.2727047160522,2626.1264593509895,378.4060693281534,0.49568984805182775,0.45472947186893886
1.864031,-16.370968,54.700836,17,3323.1494530548457,719.7626035757288,3517.2372487765924,1705.1416234400924,0.7235370277772338,0.47196063107914393
1.6730313,-14.684045,370.7921,18,2986.2186339355076,1010.1395645742735,3165.1895467099985,1659.0952375402132,0.6501423498082625,0.4883734344111548
1.986805,-12.45302,576.9529,19,3650.4053036497717,190.7618989442376,3692.9995359205604,3253.240052590247,0.7948241775566938,0.5061504528257582
2.5279443,-0.09051466,12.014625,20,3538.342885983994,461.0307560188193,3703.2467053453784,2216.7500449347613,0.7704132759998049,0.5232295164134767
2.7228913,0.7228389,8.958509,21,3414.026583835016,1035.550363615398,3746.523628777474,315.0781779682568,0.7433330730478573,0.5398861314853033
2.5806236,-3.1832595,11.755604,22,3210.4228752560575,553.9635737597291,3175.923599836885,2604.9936276265253,0.6989814501731684,0.5572085514333514
2.4528823,-36.092545,18.1636,23,2967.191975176478,809.5759255018096,2977.252602861242,1769.8586353360956,0.6459977141347005,0.5746620622608397
2.318873,-27.06398,23.585054,24,3372.68388036517,881.873454548305,3849.8996822472564,1582.380890539958,0.7343272646285887,0.5936428815788692
2.5561209,-17.855112,17.618393,25,3438.386076044004,750.9795034172103,3847.547405870544,1792.2041131079034,0.7486393762552618,0.612823229432106
1.8817291,12.164218,49.515854,26,3578.9204900315463,525.0027785732202,3844.704072472562,2633.2728081787914,0.7792524204556514,0.6326523361603419
1.8188491,10.514115,23.70596,27,3214.519031018822,1183.2774860833333,3955.750080491155,482.59449959502473,0.6998737283978337,0.6524957980049981
2.2927139,9.705266,11.120285,28,1517.6958091550885,1462.7509768811037,576.1782567851835,493.82531449621206,0.33024950030117256,0.6695917395750681
2.092806,-21.569407,15.674128,29,3531.8021283149783,714.3710580359897,3862.703850671781,1906.4345422962108,0.7689884826133012,0.6865587442451053
1.6946702,-17.639185,11.265069,30,505.16251565565324,118.78441347102418,476.18965041483517,343.037715218483,0.10968625469634902,0.7014405451880561
2.8755035,-7.1282406,11.935212,31,2756.0809807180876,1034.0821544828523,3166.6415544395477,1399.5366015855138,0.6000107560568322,0.7193515584866206
2.387962,7.3165298,15.3238535,32,3276.3601006120252,656.8058427496183,3700.237271312097,1857.6507129189492,0.7133447590382285,0.7395680379867554
2.4219298,-28.499592,16.49753,33,2352.7444399897404,1670.718785328104,3241.2906169302933,299.73172905336685,0.5121507152411806,0.7574796138207117
2.6417475,-7.0613327,16.849619,34,2940.0929281576614,1442.1539074314342,3811.4741671127913,677.2837190815281,0.64009464526611,0.7747227225038741
2.016891,-13.780048,15.083109,35,1117.1781730453235,1442.7471892600533,388.73416918357054,332.6695637902359,0.2430035101599203,0.7899615495734744
2.1732516,-3.0352652,23.138557,36,3592.6859394404623,426.80421497693567,3776.5618923062716,2662.514975872956,0.7822509906936198,0.80815822382768
4.760399,-13.341784,17.224514,37,3395.195945013899,649.7210965036221,3686.5548749403283,1803.4952327627643,0.7392311370010501,0.8257352322340011
3.2590926,-5.3600855,18.81362,38,3458.2575448695943,718.9958514777031,3890.8385224713434,1983.6312347707137,0.7529680395073701,0.8433792715602451
3.2160387,-11.520798,11.061863,39,3372.109758000525,754.1333382729135,3766.3415651395967,1653.337166618165,0.734202201785783,0.8605478083425098
2.244275,-16.764828,502.8264,40,2545.1510593290564,1702.5237684723313,3841.691385269211,337.42271515269005,0.55406324168331,0.8761762923664517
1.4443879,-6.911101,10.328278,41,3216.269651771386,1096.1248958958201,3769.563395678771,498.1631930937651,0.7002550715077223,0.8927141733302011
2.100594,-20.81137,15.569922,42,1841.1117652477405,1599.3425366050567,598.2676685347003,446.15499534141856,0.40070019403554336,0.9090289031134712
1.5670655,-21.161972,7.0545254,43,3770.212318618955,49.358666885829166,3758.8274769401796,3731.3319653697254,0.8209221085950903,0.9279791037241618
4.5205526,-15.331483,12.426811,44,3561.29996084625,666.8789515690893,3829.4038226968964,1680.6191327519732,0.7754140863175694,0.946660444272889
1.4706635,-53.563953,440.90137,45,2242.2332171917747,1477.5223423934044,2443.1742359960645,312.93263197574254,0.4880777152395361,0.9629213019212087
1.7397358,-18.148369,8.597844,46,2362.489646789966,1690.3849679645782,3335.6007234112,276.3481296092036,0.5142735436506242,0.979417831434144
2.943565,-10.059139,15.194975,47,3130.598569099172,1169.9770982038015,3753.008291527618,595.4081856669904,0.681593075729434,0.9963496417469448
