Train/Actor Loss,Train/Critic Loss,Training Epochs,Eval/AverageReturn,Eval/StdReturn,Eval/MedianReturn,Eval/MinReturn,Eval/D4RL_score,training time
-2.4247174,0.30886814,1,3625.1970779815665,16.247612823490687,3629.304085456266,3596.561440944758,1.1201070498206573,0.01512050622039371
-2.440394,0.62751716,2,3450.9417881526438,527.8072871956109,3620.379830321891,1869.2390213877795,1.0665653633873233,0.02652875887023078
-2.441008,2.2238216,3,3265.3519129304873,965.4349720126647,3580.138241867232,369.46819067538235,1.0095410118505532,0.03733329289489322
-2.4399207,1.2790567,4,373.97639920228454,4.758227625710851,374.8060554020383,363.65059017353815,0.12113687061018745,0.04551644530561235
-2.4430063,1.2728754,5,3399.3292361081635,703.3061285802818,3614.466083516067,1292.347803994178,1.0507068888451576,0.055568856000900266
-2.4443057,3.452251,6,3606.972501624474,71.59727952641902,3606.3210527829624,3422.861931742909,1.114507365853245,0.06654077927271525
-2.4421856,3.839115,7,3380.647270064744,700.5930838299317,3612.4596853824332,1280.5720881496784,1.0449666673067644,0.07487073620160421
-2.447128,5.8164797,8,3612.2501508123714,139.54391972647443,3650.880472818123,3318.3684057354353,1.1161289765268776,0.0853163183397717
-2.4475393,2.4097087,9,2973.416774443651,904.0068664635767,3677.400519681194,1605.6860978850646,0.9198410110122445,0.09601323975457085
-2.4395816,3.8909588,10,3623.5532842777843,14.344181935808843,3627.8730049510823,3597.7392701934523,1.1196019777098742,0.10593069646093581
-2.441152,2.1667671,11,3635.4287892268085,24.77609588310961,3629.9333614794273,3597.265510604005,1.1232508457748978,0.11740970042016771
-2.4400835,7.099778,12,3519.897434544073,398.5634576665717,3641.927598312921,2327.206469326165,1.087752677703706,0.12765596204333834
-2.4420173,3.580056,13,3634.9447488595915,32.55335555328995,3628.445841261967,3583.237346257371,1.1231021195147763,0.13822517063882617
-2.444918,1.7211535,14,3249.106425939862,717.0949118309787,3622.3112893810685,1791.2059088508477,1.0045494229509404,0.14772695627477433
-2.4527419,18.541466,15,3630.191477239917,38.33818006452597,3619.6088894577447,3584.1873881133224,1.1216416291110536,0.15792061461342705
-2.4424891,4.5410004,16,3154.6281863300137,713.7968986441988,3583.6471157126675,1262.5057598995547,0.9755200357516757,0.16808436526192558
-2.4447944,656.62897,17,3636.7011739029267,25.68987142090203,3632.364129656137,3593.8194173835936,1.1236417987348806,0.17918786499235365
-2.4553177,641.7081,18,3612.390643148363,31.885688632061196,3607.554763643731,3576.4317924681163,1.1161721442069368,0.1893572378820843
-2.444446,4.8570976,19,3610.9255577242902,32.442082491527486,3606.8656961650486,3553.8893675269537,1.1157219820084132,0.1992563478814231
-2.4431255,1.375056,20,3546.1982875038148,331.3576345804523,3647.706305619271,2556.9515136825985,1.0958338787018636,0.20925404489040375
-2.4521735,5.6842604,21,3431.993196814093,615.8911730769704,3631.084488081683,1585.9156535670456,1.0607432185514443,0.219114434255494
-2.444808,3.346259,22,3488.804231954163,504.61970952523507,3648.533238367863,1976.5855333329523,1.0781989791909579,0.22878386729293398
